Appendix to the first Twenty Three Volumes of Edward's Botanical Register ... A Sketch of the Vegetation of the Swan River Colony... London 	Sketch Veg. Swan R.	
Edwards's Botanical Register, Appendix to Vols 1-23	Sketch Veg. Swan R.	
Supplementum ad Methodum Plantas a Staminum situ Describendi. Marburgi Cattorum	Suppl. Meth. (Moench)	
Methodus Plantas Horti Botanici et Agri Marburgensis, Suppl.	Suppl. Meth. (Moench)	
Flora der deutschen Schutzgebiete in der Südsee	Fl. Schutzgeb. Südsee [Schumann & Lauterbach]	
Die Flora der Deutschen Schutzgebiete in der Sudsee	Fl. Schutzgeb. Südsee [Schumann & Lauterbach]	
Journal of the Faculty of Agriculture, Hokkaido Imperial University. Sapporo	J. Fac. Agric. Hokkaido Imp. Univ.	
J. Fac. Agric., Sapporo	J. Fac. Agric. Hokkaido Imp. Univ.	
Encyclopedie Methodique. Botanique	Encycl. [J. Lamarck & al.]	
Encyclopedie Methodique. Botanique Suppl. 1	Encycl. [J. Lamarck & al.] Suppl. 1.	
Encyclopedie Methodique. Botanique Suppl. 2	Encycl. [J. Lamarck & al.] Suppl. 2.	
Encyclopedie Methodique. Botanique Suppl. 3	Encycl. [J. Lamarck & al.] Suppl. 3.	
Encyclopedie Methodique. Botanique Suppl. 4	Encycl. [J. Lamarck & al.] Suppl. 4.	
Encyclopedie Methodique. Botanique Suppl. 5	Encycl. [J. Lamarck & al.] Suppl. 5.	
in L.D. Benson & R.A. Darrow, Trees & Shrubs of Southwest. Deserts (ed. 3)	Trees & Shrubs of Southw. Deserts 	
in West, Bidr. Ste-Croix	Bidr. Beskr. St° Croix 	
in Scott, Rep. Princeton Univ. Exped. Patag.	Rep. Princeton Univ. Exped. Patagonia, Botany 	
Edwards's Botanical Register - Appendix to Vols 1-23: A Sketch of the Vegetation of the Swan River Colony	Sketch Veg. Swan R.	
Beitr deutsch holz Forstw	Beytr. Teut. Forstwiss.	
Flora oder Allgemaine Botanische Zeitung	Flora	
Silva N. Am.	Silva (Sargent)	
Die Nat?rlichen Pflanzenfamilien 4(3b)	Nat. Pflanzenfam. [Engler & Prantl]	
Naturaleza (Mexico City)	Pl. Nov. Hisp.	These are two different standard publications in IPNI
Anex. Mem. Inst. Butantan	Anexos Mem. Inst. Butantan, Secc. Bot.	
Arch. sci. phys. & nat.	Arch. Sci. Phys. Nat.	
Expedition into Central Australia	Bot. Sturt's Exped. Australia	
Mem. Comision Limites	Mem. Comis. Limites [Teran & Berlandier]	
On the Cultivation of the Plants Belonging to the Natural Order of Proteeae	Cult. Prot.	
The Flora of British India 6	Fl. Brit. India [J. D. Hooker]	
Junc.	Junc. Monogr. Sp.	
Junci Generis Monographiae Specimen	Junc. Monogr. Sp.	
Monographiae Phanerogamarum 1	Monogr. Phan. [A.DC. & C.DC.]	
Növenyrendsz. Novényföldr. Tansz., Eötvös Loránd Tudományegyet. Budapest	Abstr. Bot. (Budapest)	
Fl. des Serres	Ann. Gén. Hort.	for WCS matching
Kew Mag.	Bot. Mag. (Kew Mag.)	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Bijdr.	Bijdr. Fl. Ned. Ind. 	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Fl. Filip., ed. 3	Nov. App.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Roxb. Fl. Ind., ed. Carey & Wall.	Fl. Ind. (Carey & Wallich ed.)	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Fl. Nov.-Zel.	Bot. Antarct. Voy. II. (Fl. Nov.-Zel.).	from WCS matching to IPNI (see Potential_pub_dict_additions file)
in Fl. Rep. Cuba	Fl. Rep. Cuba, Ser. A. Pl. Vasc.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Introd.	Introd. Hist. Nat.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Invest. Stud. Nat., Mus. Hist. Nat. Shanghaiense	Invest. Stud. Nat.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Prodr. Veg. Ind. Occ.	Prodr. [O. P. Swartz]	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Cat. Pl. Horti Paris.	Tabl. École Bot., ed. 3 (Cat. Pl. Horti Paris)	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Forester's Man. Bot.	Fl. Sylv. S. India	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Bol. Bot. (São Paulo)	Bol. Bot. Univ. São Paulo	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Bull. Univ. Mus. Univ. Tokyo	Fl. E. Himalaya	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Exsicc. (Herb. Norm.)	Herb. Norm.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Mém. Mus. Par.	Mém. Mus. Hist. Nat.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Sichuan Daxue Xuebao, Zir. Kexue	J. Sichuan Univ., Nat. Sci. Ed.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Hortus Kew. (W. Aiton)	Hortus Kewensis	
Hortus Kew. (W.T. Aiton), ed. 2.	Hortus Kewensis	
For. Man. Bot.	Fl. Sylv. S. India	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Beitr. Forstw. Nordam. Holz.	Beytr. Teut. Forstwiss.	from WCS matching to IPNI (see Potential_pub_dict_additions file)
Fl. Antarct.	Bot. Antarct. Voy. I. (Fl. Antarct.).	from WCS matching to IPNI (see Potential_pub_dict_additions file)
